item,epouse
http://www.wikidata.org/entity/Q329572,http://www.wikidata.org/entity/Q3122988
http://www.wikidata.org/entity/Q332842,t293236688
http://www.wikidata.org/entity/Q333064,http://www.wikidata.org/entity/Q2055853
http://www.wikidata.org/entity/Q333799,http://www.wikidata.org/entity/Q298831
http://www.wikidata.org/entity/Q334907,t2256541593
http://www.wikidata.org/entity/Q334915,t2256512984
http://www.wikidata.org/entity/Q336538,t2256546961
http://www.wikidata.org/entity/Q336538,t2256546963
http://www.wikidata.org/entity/Q341435,t847323423
http://www.wikidata.org/entity/Q342512,http://www.wikidata.org/entity/Q469701
http://www.wikidata.org/entity/Q343191,http://www.wikidata.org/entity/Q91351356
http://www.wikidata.org/entity/Q343780,http://www.wikidata.org/entity/Q5057381
http://www.wikidata.org/entity/Q343795,http://www.wikidata.org/entity/Q11919227
http://www.wikidata.org/entity/Q344282,http://www.wikidata.org/entity/Q3769302
http://www.wikidata.org/entity/Q344410,t2256526130
http://www.wikidata.org/entity/Q344826,t2217557436
http://www.wikidata.org/entity/Q347310,http://www.wikidata.org/entity/Q436302
http://www.wikidata.org/entity/Q348518,http://www.wikidata.org/entity/Q4383240
http://www.wikidata.org/entity/Q348583,http://www.wikidata.org/entity/Q189705
http://www.wikidata.org/entity/Q348926,http://www.wikidata.org/entity/Q260156
http://www.wikidata.org/entity/Q349222,t2256475655
http://www.wikidata.org/entity/Q351491,http://www.wikidata.org/entity/Q268892
http://www.wikidata.org/entity/Q351495,http://www.wikidata.org/entity/Q233704
http://www.wikidata.org/entity/Q351503,http://www.wikidata.org/entity/Q154732
http://www.wikidata.org/entity/Q351771,http://www.wikidata.org/entity/Q25478264
http://www.wikidata.org/entity/Q352035,http://www.wikidata.org/entity/Q7455880
http://www.wikidata.org/entity/Q352489,http://www.wikidata.org/entity/Q469050
http://www.wikidata.org/entity/Q352506,http://www.wikidata.org/entity/Q464452
http://www.wikidata.org/entity/Q353188,http://www.wikidata.org/entity/Q229432
http://www.wikidata.org/entity/Q355544,t2256532960
http://www.wikidata.org/entity/Q355720,http://www.wikidata.org/entity/Q12292735
http://www.wikidata.org/entity/Q355768,t2256548687
http://www.wikidata.org/entity/Q355768,t2256548688
http://www.wikidata.org/entity/Q355768,t2256548689
http://www.wikidata.org/entity/Q355768,t2256548692
http://www.wikidata.org/entity/Q355768,t2256548694
http://www.wikidata.org/entity/Q355768,t2256548697
http://www.wikidata.org/entity/Q355768,t2256548701
http://www.wikidata.org/entity/Q355778,http://www.wikidata.org/entity/Q162456
http://www.wikidata.org/entity/Q357148,t293236657
http://www.wikidata.org/entity/Q357148,t293236671
http://www.wikidata.org/entity/Q357585,http://www.wikidata.org/entity/Q6485329
http://www.wikidata.org/entity/Q357585,http://www.wikidata.org/entity/Q100701245
http://www.wikidata.org/entity/Q359810,t2256713912
http://www.wikidata.org/entity/Q359810,t2256713913
http://www.wikidata.org/entity/Q359810,t2256713916
http://www.wikidata.org/entity/Q360920,http://www.wikidata.org/entity/Q9253607
http://www.wikidata.org/entity/Q361377,t2256584753
http://www.wikidata.org/entity/Q363084,http://www.wikidata.org/entity/Q231696
http://www.wikidata.org/entity/Q363084,http://www.wikidata.org/entity/Q25921935
http://www.wikidata.org/entity/Q365148,http://www.wikidata.org/entity/Q6454823
